datetime,low,high,open,close,volumefrom,volumeto
2015-02-09,215.4,225.0,224.22,220.61,29625.03,6493501.42
2015-02-10,214.0,223.88,220.61,220.96,29268.95,6402350.57
2015-02-11,218.1,224.4,220.96,219.19,19289.28,4268986.79
2015-02-12,217.87,223.2,219.19,222.6,11190.65,2468883.37
2015-02-13,221.46,241.76,222.39,236.0,29079.11,6806972.89
2015-02-14,235.51,261.3,236.13,258.12,42984.94,10739014.48
2015-02-15,228.2,266.84,257.0,234.14,71361.28,17384420.7
2015-02-16,228.62,243.65,234.14,236.78,45750.85,10798751.12
2015-02-17,231.5,246.28,236.78,242.87,42669.08,10228035.45
2015-02-18,231.01,244.99,242.87,234.8,38588.38,9164141.83
2015-02-19,234.62,243.42,234.8,241.9,22792.55,5446200.04
2015-02-20,238.95,248.98,241.9,245.53,33337.97,8136342.67
2015-02-21,243.28,247.73,245.53,245.1,16514.04,4052466.26
2015-02-22,232.1,247.78,245.1,236.59,33394.5,7971863.56
2015-02-23,232.61,241.0,236.59,239.73,23893.09,5666261.84
2015-02-24,236.7,240.99,239.73,239.68,16784.31,4013461.44
2015-02-25,235.53,240.83,239.68,238.0,13574.5,3230232.16
2015-02-26,233.62,238.34,238.0,237.0,18691.43,4418655.89
2015-02-27,236.64,262.8,237.0,256.4,69269.58,17536633.13
2015-02-28,251.25,257.33,255.05,255.77,10695.34,2721373.29
2015-03-01,245.65,265.0,255.7,261.15,24361.06,6156716.71
2015-03-02,259.6,276.0,262.47,275.99,35351.14,9448438.14
2015-03-03,267.04,294.0,277.3,283.2,75940.04,21157890.72
2015-03-04,267.0,285.99,283.2,273.74,71328.67,19833718.19
2015-03-05,262.0,284.99,273.74,278.51,67235.69,18281541.95
2015-03-06,268.8,279.75,278.51,273.89,40490.63,11083898.02
2015-03-07,270.55,280.76,273.89,275.95,22095.92,6096102.1
2015-03-08,271.61,278.68,275.95,275.23,14729.83,4059996.89
2015-03-09,275.01,295.0,275.23,291.2,62709.27,17935918.08
2015-03-10,289.03,303.96,291.2,292.62,66533.18,19689801.8
2015-03-11,290.8,298.75,292.62,296.33,26799.48,7898592.99
2015-03-12,291.04,298.8,296.33,295.65,27237.56,8044592.43
2015-03-13,285.0,295.91,295.65,287.9,42613.88,12368444.8
2015-03-14,281.36,287.91,287.9,283.0,27077.04,7697730.93
2015-03-15,281.59,287.8,283.0,286.12,13491.22,3846739.5
2015-03-16,286.12,295.2,286.12,291.1,22427.27,6538607.02
2015-03-17,281.56,292.9,291.1,285.0,22077.69,6363650.41
2015-03-18,248.0,285.5,285.0,257.49,87951.0,23520537.51
2015-03-19,246.98,269.5,257.49,262.05,78178.66,20177686.14
2015-03-20,259.36,267.0,262.05,262.66,16500.89,4328441.8
2015-03-21,255.1,263.01,262.66,260.37,15163.43,3932500.29
2015-03-22,259.74,270.8,260.37,269.33,17916.0,4748216.13
2015-03-23,262.0,271.5,269.33,266.78,23864.89,6374502.51
2015-03-24,241.39,268.4,266.78,247.3,62637.82,15720801.73
2015-03-25,235.7,250.95,247.3,246.15,54741.19,13349382.19
2015-03-26,244.5,255.0,246.15,249.8,33117.57,8289565.28
2015-03-27,245.23,250.45,249.8,247.5,22184.43,5494965.57
2015-03-28,246.12,255.96,247.5,253.05,18235.55,4593944.06
2015-03-29,238.89,253.05,253.05,242.23,31797.94,7781423.43
2015-03-30,236.24,250.98,242.23,247.9,30546.36,7491359.46
2015-03-31,242.0,248.8,247.9,244.42,22592.89,5538544.5
2015-04-01,239.21,247.89,244.42,246.43,21379.93,5216062.22
2015-04-02,243.0,254.94,246.43,253.11,23794.07,5935950.99
2015-04-03,250.31,256.49,253.11,254.12,28441.25,7206777.03
2015-04-04,250.32,255.7,254.12,253.9,9307.17,2351734.92
2015-04-05,251.55,261.25,253.9,260.53,24071.39,6198045.49
2015-04-06,253.4,262.45,260.53,255.81,20575.47,5296679.24
2015-04-07,253.01,257.9,255.81,254.92,10671.27,2724103.24
2015-04-08,242.72,254.99,254.92,244.96,39630.95,9807179.38
2015-04-09,236.5,246.79,244.96,242.65,22658.3,5493893.77
2015-04-10,230.75,243.87,242.65,234.99,37202.32,8779200.94
2015-04-11,233.72,240.58,234.99,237.38,17768.04,4212454.68
2015-04-12,232.38,238.7,237.38,236.67,10172.05,2404156.47
2015-04-13,220.14,237.7,236.67,225.49,46724.93,10605496.24
2015-04-14,216.37,225.93,225.49,218.71,41148.33,9072017.43
2015-04-15,218.71,224.75,218.71,222.92,23442.21,5195993.12
2015-04-16,222.84,230.0,222.92,228.3,29581.76,6717348.59
2015-04-17,219.58,228.98,228.3,222.42,27070.0,6051099.42
2015-04-18,219.94,224.16,222.42,222.97,11785.5,2623795.09
2015-04-19,222.1,227.0,222.97,223.22,17660.83,3965289.9
2015-04-20,221.24,227.0,223.22,224.21,19973.12,4484304.64
2015-04-21,224.1,236.5,224.21,234.37,29961.31,6892018.26
2015-04-22,232.0,238.99,234.37,234.53,23827.36,5617505.96
2015-04-23,233.0,235.76,234.53,235.25,7823.74,1835916.77
2015-04-24,228.7,237.22,235.25,231.73,23673.65,5505129.65
2015-04-25,225.35,232.7,231.73,226.02,13177.38,3011012.08
2015-04-26,213.92,226.84,226.02,219.39,41157.48,9033043.42
2015-04-27,218.24,232.49,219.39,227.41,34855.3,7805497.05
2015-04-28,222.16,228.28,227.41,225.25,17572.04,3954137.75
2015-04-29,222.66,227.8,225.25,225.34,11932.43,2687371.88
2015-04-30,224.63,240.89,225.34,235.64,41431.76,9697487.46
2015-05-01,231.26,239.25,235.64,232.8,16071.25,3780970.84
2015-05-02,231.31,235.79,232.8,235.07,9367.6,2192424.93
2015-05-03,233.75,243.73,235.07,240.34,19106.42,4587767.58
2015-05-04,236.98,243.6,240.34,239.01,24777.49,5942074.73
2015-05-05,231.05,239.49,239.01,235.46,25961.79,6097569.04
2015-05-06,226.42,236.75,235.46,229.74,47349.28,10954983.7
2015-05-07,227.81,239.79,229.74,237.52,26878.77,6301218.65
2015-05-08,235.66,249.22,237.52,244.75,31722.59,7727308.38
2015-05-09,240.1,249.21,244.75,242.55,19368.92,4725248.25
2015-05-10,238.79,245.95,242.55,240.58,11858.21,2869134.78
2015-05-11,238.5,245.49,240.58,242.85,15688.2,3800696.06
2015-05-12,240.86,244.67,242.85,242.46,13120.58,3177594.62
2015-05-13,234.22,245.0,242.46,236.4,28252.17,6776979.42
2015-05-14,232.1,238.39,236.4,236.63,19670.32,4643708.28
2015-05-15,233.88,239.0,236.63,237.11,9576.0,2271369.9
2015-05-16,234.0,237.58,237.11,235.71,6025.86,1422779.3
2015-05-17,235.6,238.24,235.71,236.49,4861.62,1150863.49
2015-05-18,229.0,237.25,236.49,232.0,14048.52,3286691.0
2015-05-19,231.19,236.76,232.0,231.76,6090.08,1417681.02
2015-05-20,231.26,235.24,231.76,233.85,11423.86,2671752.01
2015-05-21,233.85,236.5,233.85,235.2,10562.21,2486289.06
2015-05-22,234.59,241.83,235.2,240.92,22276.5,5299519.14
2015-05-23,237.54,241.82,240.92,238.8,9043.62,2168898.61
2015-05-24,238.52,242.98,238.8,241.01,7220.39,1740186.7
2015-05-25,236.1,241.12,241.01,236.9,8572.3,2043440.91
2015-05-26,235.26,238.5,236.9,237.4,8820.64,2093218.42
2015-05-27,235.0,239.3,237.4,236.73,8944.34,2122389.91
2015-05-28,235.85,237.5,236.73,236.82,6024.08,1426119.1
2015-05-29,235.02,237.16,236.82,236.45,6848.67,1618056.66
2015-05-30,228.2,236.81,236.45,232.3,14475.33,3366947.9
2015-05-31,227.0,232.99,232.3,228.59,11634.78,2676639.56
2015-06-01,219.71,230.89,228.59,221.97,31986.22,7175381.61
2015-06-02,220.97,226.0,221.97,224.31,16516.22,3694507.67
2015-06-03,222.26,227.0,224.31,225.34,16972.54,3817598.47
2015-06-04,222.64,225.77,225.34,223.17,10967.86,2463291.81
2015-06-05,222.65,229.23,223.17,224.44,17898.58,4021547.46
2015-06-06,223.9,226.37,224.44,224.68,5544.68,1246754.84
2015-06-07,222.29,228.0,224.68,223.45,18472.36,4147859.6
2015-06-08,223.25,230.63,223.45,228.5,28938.66,6570924.91
2015-06-09,227.79,232.07,228.5,229.52,16167.06,3725315.85
2015-06-10,227.48,229.97,229.52,228.74,10947.06,2505202.24
2015-06-11,228.6,230.7,228.74,229.69,9405.68,2160876.76
2015-06-12,229.11,231.34,229.69,229.82,9642.67,2220804.49
2015-06-13,228.4,234.3,229.82,232.72,11318.33,2615105.12
2015-06-14,232.51,235.44,232.72,233.58,8276.26,1936118.7
2015-06-15,233.31,238.16,233.58,237.18,19113.51,4515998.59
2015-06-16,236.0,254.0,237.18,251.48,49895.07,12243880.11
2015-06-17,246.0,259.1,251.48,246.93,47887.62,12087271.56
2015-06-18,243.0,253.7,246.93,249.11,27419.49,6829549.92
2015-06-19,243.5,252.13,249.11,244.57,23249.18,5758013.7
2015-06-20,240.0,245.95,244.57,245.3,24626.33,5981262.18
2015-06-21,241.09,245.69,245.3,243.82,8183.79,1990342.81
2015-06-22,243.5,247.99,243.82,247.35,18310.0,4502474.53
2015-06-23,242.0,247.35,247.35,244.0,11385.03,2781373.82
2015-06-24,239.0,244.27,244.0,240.45,15338.35,3704516.64
2015-06-25,239.5,243.0,240.45,242.49,9336.92,2254668.6
2015-06-26,240.61,243.9,242.49,243.17,10132.1,2452932.97
2015-06-27,242.6,251.77,243.17,251.47,18060.1,4476775.67
2015-06-28,247.25,252.06,251.47,249.34,12617.64,3152292.96
2015-06-29,248.57,257.74,249.34,257.01,34828.47,8828406.56
2015-06-30,253.05,269.0,257.01,264.5,47170.54,12408717.24
2015-07-01,252.77,264.81,264.5,257.83,21961.28,5670726.94
2015-07-02,253.0,262.61,257.83,254.59,17249.19,4422772.58
2015-07-03,252.11,256.9,254.59,255.38,11622.32,2957503.24
2015-07-04,253.57,262.64,255.38,260.85,10653.62,2749608.42
2015-07-05,258.0,277.58,260.85,270.17,2608.8,704526.58
2015-07-06,267.33,278.69,270.17,272.0,38371.63,9641.56
2015-07-07,272.0,272.0,272.0,272.0,0.0,0.0
2015-07-08,272.0,272.0,272.0,272.0,0.0,0.0
2015-07-09,272.0,272.0,272.0,272.0,0.0,0.0
2015-07-10,272.0,272.0,272.0,272.0,0.0,0.0
2015-07-11,292.4,295.42,293.61,293.78,1237.39,364057.29
2015-07-12,291.81,316.23,293.78,311.51,61228.35,18710635.29
2015-07-13,281.5,312.0,311.51,291.89,74021.44,21608865.2
2015-07-14,286.0,297.25,291.89,287.96,23117.93,6737579.9
2015-07-15,283.51,294.44,287.96,284.0,21032.86,6094214.04
2015-07-16,275.21,295.0,284.0,278.89,53995.36,15249856.27
2015-07-17,272.0,281.55,278.89,279.67,25620.29,7096065.92
2015-07-18,276.12,283.33,279.67,277.31,15519.08,4337798.96
2015-07-19,274.69,279.18,277.31,275.03,7924.86,2192745.97
2015-07-20,273.5,280.0,275.03,278.95,11561.68,3202840.49
2015-07-21,275.09,282.1,278.95,276.1,13328.73,3723868.9
2015-07-22,274.5,278.39,276.1,278.12,10848.57,2999577.19
2015-07-23,275.56,278.44,278.12,276.38,5527.72,1532368.03
2015-07-24,276.02,289.93,276.38,289.3,23926.71,6804666.43
2015-07-25,286.39,292.35,289.3,289.76,11635.62,3365849.62
2015-07-26,288.12,294.57,289.76,292.57,9647.58,2816573.6
2015-07-27,286.0,298.74,292.57,294.71,25110.05,7361492.48
2015-07-28,293.61,298.93,294.71,295.07,14750.14,4362469.79
2015-07-29,286.02,295.68,295.07,289.15,15475.07,4505454.95
2015-07-30,284.01,291.0,289.15,287.66,12381.15,3558448.06
2015-07-31,281.0,289.85,287.66,284.38,14643.56,4166641.25
2015-08-01,276.53,284.99,284.38,280.95,12167.71,3402643.89
2015-08-02,276.26,283.44,280.95,282.34,11760.99,3287006.82
2015-08-03,279.7,287.05,282.34,283.51,13975.2,3971055.98
2015-08-04,281.25,285.94,283.51,284.72,12386.04,3521558.44
2015-08-05,281.49,285.94,284.72,282.38,7686.48,2178457.33
2015-08-06,278.0,282.64,282.38,279.1,10193.73,2854829.42
2015-08-07,276.07,281.0,279.1,279.25,12430.26,3465276.0
2015-08-08,260.62,280.32,279.25,261.13,36510.57,9858447.63
2015-08-09,260.68,267.6,261.13,266.18,21156.31,5586331.32
2015-08-10,262.17,267.72,266.18,264.96,10727.47,2842795.23
2015-08-11,264.81,272.99,264.96,271.22,12800.54,3425105.31
2015-08-12,265.8,273.75,271.22,269.42,16107.09,4339867.53
2015-08-13,263.33,269.42,269.42,264.55,13310.5,3533759.25
2015-08-14,262.13,268.97,264.55,266.57,13367.49,3553585.64
2015-08-15,260.96,267.76,266.57,262.2,9986.54,2643109.79
2015-08-16,256.5,262.9,262.2,259.71,27849.95,7232531.12
2015-08-17,257.4,262.37,259.71,258.49,9959.39,2582333.66
2015-08-18,246.27,258.5,258.49,246.3,41307.63,10412362.1
2015-08-19,162.0,255.08,246.3,226.29,123502.36,27261039.12
2015-08-20,221.49,237.94,226.29,235.52,26954.16,6288594.52
2015-08-21,230.52,236.43,235.52,232.82,12834.54,2993648.45
2015-08-22,221.77,234.71,232.82,230.03,20968.79,4788302.04
2015-08-23,225.58,232.88,230.03,227.53,11909.02,2734484.24
2015-08-24,207.62,229.07,227.53,212.63,49975.61,10841900.7
2015-08-25,196.6,228.77,212.63,222.0,67789.72,14410194.33
2015-08-26,220.1,232.38,222.0,225.98,23212.32,5267056.71
2015-08-27,224.0,229.5,225.98,224.06,11589.14,2626395.96
2015-08-28,220.11,238.9,224.06,232.92,27052.03,6218034.2
2015-08-29,227.16,234.03,232.92,229.17,10125.89,2330256.46
2015-08-30,225.2,233.96,229.17,229.17,8990.75,2061181.55
2015-08-31,225.31,233.69,229.17,230.8,11192.2,2578555.28
2015-09-01,226.55,232.39,230.8,227.6,9764.7,2233445.41
2015-09-02,226.51,231.89,227.6,229.37,9045.3,2072634.63
2015-09-03,226.1,229.99,229.37,226.66,6950.52,1582610.17
2015-09-04,226.66,231.66,226.66,231.19,10809.77,2486507.68
2015-09-05,230.01,239.76,231.19,235.73,12108.19,2839856.93
2015-09-06,235.5,248.48,235.73,240.74,20611.16,4976257.17
2015-09-07,239.03,243.0,240.74,240.34,6777.5,1634411.17
2015-09-08,240.26,247.68,240.34,244.12,16405.4,4011656.97
2015-09-09,238.38,245.57,244.12,238.93,15452.6,3721902.68
2015-09-10,237.01,241.9,238.93,239.69,10820.9,2594756.82
2015-09-11,239.25,242.78,239.69,241.0,6776.79,1632372.96
2015-09-12,235.33,241.0,241.0,236.82,9633.16,2287803.45
2015-09-13,228.95,237.17,236.82,231.15,11821.34,2754139.25
2015-09-14,228.4,233.9,231.15,230.96,9630.9,2227747.76
2015-09-15,229.5,232.93,230.96,231.06,6829.41,1579388.92
2015-09-16,227.33,232.12,231.06,228.97,8822.09,2022849.82
2015-09-17,228.93,235.71,228.97,233.51,11231.12,2608141.69
2015-09-18,232.52,236.26,233.51,233.22,8699.27,2037586.95
2015-09-19,231.4,234.19,233.22,232.09,5044.73,1173948.64
2015-09-20,231.4,233.38,232.09,232.53,3441.82,799966.52
2015-09-21,226.38,232.97,232.53,227.09,9758.83,2229842.43
2015-09-22,224.25,233.95,227.83,230.61,18414.27,4214878.96
2015-09-23,230.03,233.0,232.25,230.25,4971.94,1150791.69
2015-09-24,230.6,236.25,230.63,234.61,15210.46,3563118.61
2015-09-25,233.05,237.7,234.64,235.64,9824.28,2322721.05
2015-09-26,233.75,235.95,235.69,235.08,4661.99,1095223.22
2015-09-27,233.0,234.78,234.59,233.54,2564.62,599660.92
2015-09-28,233.4,241.44,233.42,241.09,12413.2,2962573.09
2015-09-29,236.88,241.5,240.8,237.9,8825.03,2107606.04
2015-09-30,235.11,238.78,236.99,236.59,5042.62,1195196.93
2015-10-01,236.19,240.09,236.59,238.47,6071.06,1446204.95
2015-10-02,237.33,240.0,238.15,237.66,5447.39,1299147.04
2015-10-03,237.68,241.11,237.85,239.85,6133.07,1470879.02
2015-10-04,239.29,240.93,239.73,239.48,2001.01,480138.52
2015-10-05,236.24,242.0,239.49,241.8,11345.81,2720130.22
2015-10-06,241.51,249.01,242.0,247.31,16136.78,3968336.96
2015-10-07,243.5,247.93,247.36,244.11,8584.96,2107840.15
2015-10-08,242.62,245.65,244.03,243.64,5956.05,1453818.48
2015-10-09,242.63,245.45,242.7,244.85,3556.33,868782.67
2015-10-10,243.5,246.41,244.99,246.02,4111.12,1009051.69
2015-10-11,243.75,248.73,245.97,248.1,4850.24,1196992.54
2015-10-12,245.21,248.45,247.85,246.23,4968.69,1226918.93
2015-10-13,244.0,253.43,246.01,250.34,16410.4,4093706.26
2015-10-14,250.1,255.95,251.14,253.5,10047.33,2541422.56
2015-10-15,253.44,257.5,253.59,254.99,10145.05,2591115.27
2015-10-16,254.92,267.83,254.92,263.27,21492.76,5637612.92
2015-10-17,258.32,275.19,263.07,271.32,40604.92,10948021.36
2015-10-18,263.3,274.66,274.47,264.44,14822.94,3959399.24
2015-10-19,262.35,268.28,265.73,265.03,10743.26,2846622.36
2015-10-20,264.39,273.97,266.5,270.82,13899.02,3742037.93
2015-10-21,264.1,272.28,270.72,267.56,10327.74,2767007.1
2015-10-22,267.3,279.97,268.29,275.89,27082.13,7437313.78
2015-10-23,275.15,280.9,275.58,277.99,15448.47,4301103.18
2015-10-24,279.66,284.45,279.66,284.43,12774.37,3596468.47
2015-10-25,281.2,295.99,284.45,288.86,37524.92,10861129.51
2015-10-26,282.25,287.92,286.21,286.63,16739.47,4765919.03
2015-10-27,286.71,298.86,287.24,295.59,26563.98,7798862.8
2015-10-28,295.79,307.99,296.7,303.95,34753.76,10467802.58
2015-10-29,301.5,321.53,303.59,315.03,49852.64,15558927.44
2015-10-30,313.82,336.0,314.72,328.25,61568.03,20048674.78
2015-10-31,307.2,335.87,331.56,315.3,41089.28,13148727.01
2015-11-01,313.6,333.49,318.1,332.16,24497.88,7908824.0
2015-11-02,326.8,373.12,331.73,364.86,69775.42,24388156.57
2015-11-03,361.11,423.88,364.0,398.8,169084.56,66221637.08
2015-11-04,366.66,504.0,408.28,399.98,266768.61,119142143.27
2015-11-05,370.0,449.95,391.77,382.64,149003.41,59991225.88
2015-11-06,351.2,396.78,385.57,370.66,105547.7,39300707.15
2015-11-07,370.55,392.23,370.66,387.44,34327.36,13181719.44
2015-11-08,365.56,390.33,386.0,373.7,29377.86,11150137.05
2015-11-09,360.0,388.99,373.32,381.94,36157.12,13607333.61
2015-11-10,327.02,383.4,372.0,339.71,82647.07,29242641.19
2015-11-11,300.28,343.79,340.28,308.7,114163.83,36020257.73
2015-11-12,314.14,346.44,317.51,336.31,54094.19,17909535.56
2015-11-13,326.22,343.75,336.5,336.24,29488.11,9875649.72
2015-11-14,328.5,340.72,338.44,333.15,20143.94,6733233.86
2015-11-15,315.0,336.6,333.44,318.12,30526.9,9888810.78
2015-11-16,315.2,335.0,320.13,331.79,25254.05,8240732.91
2015-11-17,331.05,342.5,332.0,336.02,26824.1,9021486.89
2015-11-18,327.91,338.99,336.28,337.31,14441.18,4824539.98
2015-11-19,324.02,336.57,335.62,325.53,18681.8,6153761.55
2015-11-20,309.46,326.77,326.61,322.48,29699.74,9461812.4
2015-11-21,318.95,329.35,322.36,325.49,9965.84,3244958.72
2015-11-22,320.36,327.66,327.48,323.1,6871.43,2223545.15
2015-11-23,320.9,327.5,324.17,323.41,7706.02,2497116.95
2015-11-24,315.55,323.77,323.6,319.24,9335.16,2993114.13
2015-11-25,316.02,332.43,320.46,328.73,20380.22,6639224.9
2015-11-26,329.89,369.9,330.8,356.29,78423.24,27346961.49
2015-11-27,348.18,367.0,351.79,361.97,33811.15,12127271.11
2015-11-28,351.0,362.44,355.16,357.29,16436.22,5850617.3
2015-11-29,355.17,376.0,358.83,373.0,24938.78,9132042.94
2015-11-30,368.11,384.99,373.99,379.0,46817.78,17692585.26
2015-12-01,353.1,379.99,378.23,362.18,43774.35,15927980.76
2015-12-02,346.13,363.22,361.18,359.59,30939.0,10978177.77
2015-12-03,352.25,371.5,358.89,360.09,27109.46,9831810.14
2015-12-04,354.31,364.4,360.88,362.07,14461.64,5196428.77
2015-12-05,362.08,395.0,363.89,388.92,44771.67,16945599.91
2015-12-06,386.01,407.57,393.73,397.86,55812.16,22129296.81
2015-12-07,384.53,404.24,387.5,396.45,31650.85,12523960.97
2015-12-08,388.37,418.35,397.0,417.99,24334.02,9746394.03
2015-12-09,405.0,426.59,417.41,417.67,50129.41,20912810.98
2015-12-10,411.09,421.82,420.66,415.72,20367.69,8472916.72
2015-12-11,416.04,455.0,416.39,453.51,70708.96,31036007.37
2015-12-12,402.5,475.04,453.55,435.0,102451.35,44634199.77
2015-12-13,415.24,443.92,433.04,436.02,32460.35,14098605.93
2015-12-14,430.21,450.0,430.47,441.7,25563.84,11337028.57
2015-12-15,443.0,467.29,445.85,464.84,40520.41,18555977.11
2015-12-16,440.0,469.99,465.69,454.87,66501.46,30290815.39
2015-12-17,446.21,458.56,454.71,456.89,17571.84,7971263.73
2015-12-18,450.1,466.6,456.55,462.87,26777.25,12317794.96
2015-12-19,452.0,467.0,462.88,461.07,20952.54,9655196.52
2015-12-20,431.5,462.78,461.84,442.47,46026.45,20469545.85
2015-12-21,424.37,447.45,437.72,438.04,42075.65,18336586.88
2015-12-22,433.0,443.64,437.68,436.69,18082.39,7922136.53
2015-12-23,433.62,445.76,435.06,443.2,15891.11,7001265.01
2015-12-24,442.45,459.1,443.0,456.5,19755.1,8955798.83
2015-12-25,445.0,460.0,456.57,455.85,15023.29,6819698.26
2015-12-26,405.5,460.05,455.25,416.51,96190.2,40995336.67
2015-12-27,407.0,424.89,414.56,422.87,26688.8,11170635.09
2015-12-28,417.01,429.0,424.99,419.69,23033.1,9753780.25
2015-12-29,418.01,433.55,421.0,430.13,21246.04,9059092.05
2015-12-30,420.0,434.0,430.49,425.34,21415.38,9154735.78
2015-12-31,412.5,432.59,423.0,428.51,20886.79,8845560.46
2016-01-01,426.26,436.49,430.0,434.1,12764.39,5518307.21
2016-01-02,430.0,435.8,434.5,432.88,5857.84,2534639.03
2016-01-03,421.73,433.07,432.96,429.0,18890.17,8061180.65
2016-01-04,426.97,435.67,428.21,432.77,12647.85,5462825.91
2016-01-05,427.91,434.91,432.8,431.12,11111.9,4795001.04
2016-01-06,425.03,432.24,431.18,431.02,8101.17,3476135.28
2016-01-07,427.11,459.52,429.09,459.0,51728.62,23156236.3
2016-01-08,446.55,465.0,459.0,453.9,33422.0,15244439.46
2016-01-09,447.07,456.01,453.93,450.01,8625.75,3889886.71
2016-01-10,441.01,449.87,449.66,447.85,13039.36,5802400.32
2016-01-11,443.42,452.49,448.9,449.1,14278.11,6396297.27
2016-01-12,444.31,449.98,446.49,446.13,10299.47,4603800.22
2016-01-13,416.0,436.36,432.64,431.27,30615.78,13080083.77
2016-01-14,426.0,435.0,430.79,429.0,13112.83,5643679.18
2016-01-15,365.51,429.11,428.9,375.0,115425.76,46025410.27
2016-01-16,352.5,387.98,367.0,387.23,68213.36,25436510.37
2016-01-17,378.76,393.31,388.05,384.3,18095.3,6984493.53
2016-01-18,375.01,390.0,383.21,386.06,18611.6,7143647.86
2016-01-19,377.41,388.61,386.15,379.9,16643.43,6364129.89
2016-01-20,375.01,428.0,378.97,415.95,79780.26,32495689.27
2016-01-21,405.0,424.57,418.94,410.9,28304.28,11710297.62
2016-01-22,371.25,411.2,411.01,381.49,61093.94,23720821.33
2016-01-23,379.85,394.81,382.9,387.68,20455.64,7936044.57
2016-01-24,385.87,407.33,386.71,403.76,22822.4,9143315.88
2016-01-25,384.0,402.27,399.1,392.55,20556.2,8106291.08
2016-01-26,386.66,398.0,392.44,389.41,12778.25,5020825.03
2016-01-27,390.27,396.99,390.49,395.12,8029.12,3167927.89
2016-01-28,375.01,395.48,394.78,379.0,24298.13,9283620.24
2016-01-29,360.03,386.0,374.39,378.8,60403.28,22525707.76
2016-01-30,374.0,380.6,377.56,376.99,10202.34,3847112.56
